Year,Units,Geography,Offences,Age of accused,Sex of accused,Value
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Company,129
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Sex unknown,149
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Sex unknown,148
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Sex unknown,150
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Sex unknown,139
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Sex unknown,136
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total - sex of accused,129
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total - sex of accused,132
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total - sex of accused,143
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total - sex of accused,148
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total - sex of accused,151
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,132
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,134
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,148
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,153
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,156
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,113
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,113
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,127
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,132
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,134
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,155
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,150
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,159
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,151
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,150
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total - sex of accused,120
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total - sex of accused,122
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total - sex of accused,131
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total - sex of accused,133
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total - sex of accused,135
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,120
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,123
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,132
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,134
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,137
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,109
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,114
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,125
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,127
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,133
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,145
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,145
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,145
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,133
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,134
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total - sex of accused,122
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total - sex of accused,124
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total - sex of accused,132
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total - sex of accused,134
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total - sex of accused,134
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,122
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,123
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,134
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,135
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,135
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,113
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,116
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,125
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,127
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,130
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,151
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,152
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,139
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,131
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,134
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total - sex of accused,120
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total - sex of accused,123
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total - sex of accused,135
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total - sex of accused,140
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total - sex of accused,140
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,123
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,124
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,139
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,143
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,141
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,105
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,113
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,120
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,127
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,129
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,149
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,147
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,156
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,135
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,141
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total - sex of accused,113
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total - sex of accused,114
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total - sex of accused,124
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total - sex of accused,126
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total - sex of accused,126
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,117
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,120
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,128
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,131
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,131
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,86
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,83
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,93
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,99
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,102
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,148
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,159
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,162
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,143
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,127
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Total - sex of accused,174
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Total - sex of accused,173
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Total - sex of accused,183
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Total - sex of accused,183
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Total - sex of accused,178
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Males,178
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Males,177
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Males,189
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Males,190
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Males,184
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Females,143
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Females,145
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Females,155
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Females,154
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Females,155
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Company,247
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Company,97
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Company,419
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Company,479
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Company,162
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Sex unknown,199
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Sex unknown,198
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Sex unknown,190
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Sex unknown,180
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total - age of accused,Sex unknown,175
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total - sex of accused,194
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total - sex of accused,192
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total - sex of accused,206
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total - sex of accused,206
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total - sex of accused,203
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,203
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,200
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,218
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,217
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Males,216
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,157
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,154
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,167
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,172
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Females,163
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,220
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,221
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,204
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,199
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,194
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total - sex of accused,171
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total - sex of accused,172
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total - sex of accused,179
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total - sex of accused,181
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total - sex of accused,178
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,176
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,176
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,184
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,189
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Males,185
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,142
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,148
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,155
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,154
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Females,157
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,197
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,198
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,180
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,175
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,172
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total - sex of accused,169
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total - sex of accused,169
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total - sex of accused,176
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total - sex of accused,177
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total - sex of accused,170
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,173
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,172
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,182
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,185
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,175
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,142
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,145
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,155
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,147
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,151
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,194
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,192
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,186
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,165
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,163
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Total - sex of accused,164
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Total - sex of accused,162
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Total - sex of accused,176
