Year,Géographie,Persons,Value
2016,Île-du-Prince-Édouard,Females 18 to 64 years,12.9
2017,Île-du-Prince-Édouard,Females 18 to 64 years,15.1
2018,Île-du-Prince-Édouard,Females 18 to 64 years,11.9
2015,Île-du-Prince-Édouard,Females 65 years and over,16.1
2016,Île-du-Prince-Édouard,Females 65 years and over,11.7
2017,Île-du-Prince-Édouard,Females 65 years and over,9.4
2018,Île-du-Prince-Édouard,Females 65 years and over,12.6
2015,Nouvelle-Écosse,All persons,17
2016,Nouvelle-Écosse,All persons,16.2
2017,Nouvelle-Écosse,All persons,15
2018,Nouvelle-Écosse,All persons,13.3
2015,Nouvelle-Écosse,Persons under 18 years,20.7
2016,Nouvelle-Écosse,Persons under 18 years,19.1
2017,Nouvelle-Écosse,Persons under 18 years,19.4
2018,Nouvelle-Écosse,Persons under 18 years,14.8
2015,Nouvelle-Écosse,Persons 18 to 64 years,18
2016,Nouvelle-Écosse,Persons 18 to 64 years,18
2017,Nouvelle-Écosse,Persons 18 to 64 years,16.3
2018,Nouvelle-Écosse,Persons 18 to 64 years,14.6
2015,Nouvelle-Écosse,Persons 65 years and over,10.5
2016,Nouvelle-Écosse,Persons 65 years and over,7.9
2017,Nouvelle-Écosse,Persons 65 years and over,6.9
2018,Nouvelle-Écosse,Persons 65 years and over,8.1
2015,Nouvelle-Écosse,Hommes,16.5
2016,Nouvelle-Écosse,Hommes,17
2017,Nouvelle-Écosse,Hommes,13.5
2018,Nouvelle-Écosse,Hommes,13
2015,Nouvelle-Écosse,Males under 18 years,19.3
2016,Nouvelle-Écosse,Males under 18 years,20.4
2017,Nouvelle-Écosse,Males under 18 years,17.4
2018,Nouvelle-Écosse,Males under 18 years,16.2
2015,Nouvelle-Écosse,Males 18 to 64 years,18
2016,Nouvelle-Écosse,Males 18 to 64 years,18.7
2017,Nouvelle-Écosse,Males 18 to 64 years,15
2018,Nouvelle-Écosse,Males 18 to 64 years,14.4
2015,Nouvelle-Écosse,Males 65 years and over,8.1
2016,Nouvelle-Écosse,Males 65 years and over,8
2017,Nouvelle-Écosse,Males 65 years and over,5
2018,Nouvelle-Écosse,Males 65 years and over,5.7
2015,Nouvelle-Écosse,Femmes,17.5
2016,Nouvelle-Écosse,Femmes,15.4
2017,Nouvelle-Écosse,Femmes,16.3
2018,Nouvelle-Écosse,Femmes,13.6
2015,Nouvelle-Écosse,Females under 18 years,22.3
2016,Nouvelle-Écosse,Females under 18 years,17.6
2017,Nouvelle-Écosse,Females under 18 years,21.6
2018,Nouvelle-Écosse,Females under 18 years,13.3
2015,Nouvelle-Écosse,Females 18 to 64 years,18
2016,Nouvelle-Écosse,Females 18 to 64 years,17.3
2017,Nouvelle-Écosse,Females 18 to 64 years,17.5
2018,Nouvelle-Écosse,Females 18 to 64 years,14.8
2015,Nouvelle-Écosse,Females 65 years and over,12.4
2016,Nouvelle-Écosse,Females 65 years and over,7.8
2017,Nouvelle-Écosse,Females 65 years and over,8.6
2018,Nouvelle-Écosse,Females 65 years and over,10.2
2015,Nouveau-Brunswick,All persons,16.1
2016,Nouveau-Brunswick,All persons,13.6
2017,Nouveau-Brunswick,All persons,12.1
2018,Nouveau-Brunswick,All persons,10
2015,Nouveau-Brunswick,Persons under 18 years,20.3
2016,Nouveau-Brunswick,Persons under 18 years,16.5
2017,Nouveau-Brunswick,Persons under 18 years,15.4
2018,Nouveau-Brunswick,Persons under 18 years,11.5
2015,Nouveau-Brunswick,Persons 18 to 64 years,16.5
2016,Nouveau-Brunswick,Persons 18 to 64 years,14
2017,Nouveau-Brunswick,Persons 18 to 64 years,13.1
2018,Nouveau-Brunswick,Persons 18 to 64 years,11.1
2015,Nouveau-Brunswick,Persons 65 years and over,10.8
2016,Nouveau-Brunswick,Persons 65 years and over,9.6
2017,Nouveau-Brunswick,Persons 65 years and over,6.3
2018,Nouveau-Brunswick,Persons 65 years and over,5.3
2015,Nouveau-Brunswick,Hommes,15.9
2016,Nouveau-Brunswick,Hommes,12.1
2017,Nouveau-Brunswick,Hommes,11.2
2018,Nouveau-Brunswick,Hommes,9.7
2015,Nouveau-Brunswick,Males under 18 years,21.8
2016,Nouveau-Brunswick,Males under 18 years,17.2
2017,Nouveau-Brunswick,Males under 18 years,14.9
2018,Nouveau-Brunswick,Males under 18 years,11.1
2015,Nouveau-Brunswick,Males 18 to 64 years,16.1
2016,Nouveau-Brunswick,Males 18 to 64 years,12.1
2017,Nouveau-Brunswick,Males 18 to 64 years,12
2018,Nouveau-Brunswick,Males 18 to 64 years,10.9
2015,Nouveau-Brunswick,Males 65 years and over,8.5
2016,Nouveau-Brunswick,Males 65 years and over,7
2017,Nouveau-Brunswick,Males 65 years and over,5.1
2018,Nouveau-Brunswick,Males 65 years and over,4.4
2015,Nouveau-Brunswick,Femmes,16.3
2016,Nouveau-Brunswick,Femmes,14.9
2017,Nouveau-Brunswick,Femmes,13
2018,Nouveau-Brunswick,Femmes,10.3
2015,Nouveau-Brunswick,Females under 18 years,18.5
2016,Nouveau-Brunswick,Females under 18 years,15.7
2017,Nouveau-Brunswick,Females under 18 years,15.8
2018,Nouveau-Brunswick,Females under 18 years,12.1
2015,Nouveau-Brunswick,Females 18 to 64 years,16.8
2016,Nouveau-Brunswick,Females 18 to 64 years,15.8
2017,Nouveau-Brunswick,Females 18 to 64 years,14.1
2018,Nouveau-Brunswick,Females 18 to 64 years,11.3
2015,Nouveau-Brunswick,Females 65 years and over,12.7
2016,Nouveau-Brunswick,Females 65 years and over,11.8
2017,Nouveau-Brunswick,Females 65 years and over,7.4
2018,Nouveau-Brunswick,Females 65 years and over,6.1
2015,Québec,All persons,13.7
2016,Québec,All persons,10.9
2017,Québec,All persons,10.8
2018,Québec,All persons,9.7
2015,Québec,Persons under 18 years,14.1
2016,Québec,Persons under 18 years,10.7
2017,Québec,Persons under 18 years,10.1
2018,Québec,Persons under 18 years,7.6
2015,Québec,Persons 18 to 64 years,15.6
2016,Québec,Persons 18 to 64 years,12.1
2017,Québec,Persons 18 to 64 years,12.4
2018,Québec,Persons 18 to 64 years,11.7
2015,Québec,Persons 65 years and over,6.8
2016,Québec,Persons 65 years and over,7.2
2017,Québec,Persons 65 years and over,5.9
2018,Québec,Persons 65 years and over,5.4
2015,Québec,Hommes,13.7
2016,Québec,Hommes,11
2017,Québec,Hommes,10.7
2018,Québec,Hommes,9.6
2015,Québec,Males under 18 years,15.1
2016,Québec,Males under 18 years,10
2017,Québec,Males under 18 years,10.1
2018,Québec,Males under 18 years,7.9
2015,Québec,Males 18 to 64 years,15.1
2016,Québec,Males 18 to 64 years,12.4
2017,Québec,Males 18 to 64 years,12.5
2018,Québec,Males 18 to 64 years,11.6
2015,Québec,Males 65 years and over,5.9
2016,Québec,Males 65 years and over,6.7
2017,Québec,Males 65 years and over,4.8
2018,Québec,Males 65 years and over,4.4
2015,Québec,Femmes,13.8
2016,Québec,Femmes,10.9
2017,Québec,Femmes,10.8
2018,Québec,Femmes,9.9
2015,Québec,Females under 18 years,13
2016,Québec,Females under 18 years,11.4
2017,Québec,Females under 18 years,10.1
2018,Québec,Females under 18 years,7.3
2015,Québec,Females 18 to 64 years,16
2016,Québec,Females 18 to 64 years,11.7
2017,Québec,Females 18 to 64 years,12.2
2018,Québec,Females 18 to 64 years,11.8
2015,Québec,Females 65 years and over,7.5
2016,Québec,Females 65 years and over,7.6
2017,Québec,Females 65 years and over,6.9
2018,Québec,Females 65 years and over,6.2
2015,Ontario,All persons,15.1
2016,Ontario,All persons,13.6
2017,Ontario,All persons,12.2
2018,Ontario,All persons,11.6
2015,Ontario,Persons under 18 years,18.2
2016,Ontario,Persons under 18 years,15.4
2017,Ontario,Persons under 18 years,12.3
2018,Ontario,Persons under 18 years,12.5
2015,Ontario,Persons 18 to 64 years,16.4
2016,Ontario,Persons 18 to 64 years,14.9
2017,Ontario,Persons 18 to 64 years,13.9
2018,Ontario,Persons 18 to 64 years,13
2015,Ontario,Persons 65 years and over,6
2016,Ontario,Persons 65 years and over,6.5
2017,Ontario,Persons 65 years and over,5.4
2018,Ontario,Persons 65 years and over,5.4
2015,Ontario,Hommes,14.8
2016,Ontario,Hommes,12.5
2017,Ontario,Hommes,12.1
2018,Ontario,Hommes,11.9
2015,Ontario,Males under 18 years,18
2016,Ontario,Males under 18 years,13.1
2017,Ontario,Males under 18 years,11.8
2018,Ontario,Males under 18 years,13
2015,Ontario,Males 18 to 64 years,16.1
2016,Ontario,Males 18 to 64 years,13.9
2017,Ontario,Males 18 to 64 years,13.8
2018,Ontario,Males 18 to 64 years,13.1
2015,Ontario,Males 65 years and over,4.6
2016,Ontario,Males 65 years and over,5.9
2017,Ontario,Males 65 years and over,5.1
2018,Ontario,Males 65 years and over,5.3
2015,Ontario,Femmes,15.5
2016,Ontario,Femmes,14.7
2017,Ontario,Femmes,12.2
2018,Ontario,Femmes,11.4
2015,Ontario,Females under 18 years,18.5
2016,Ontario,Females under 18 years,17.8
2017,Ontario,Females under 18 years,12.8
2018,Ontario,Females under 18 years,12
2015,Ontario,Females 18 to 64 years,16.8
2016,Ontario,Females 18 to 64 years,15.9
2017,Ontario,Females 18 to 64 years,13.9
2018,Ontario,Females 18 to 64 years,12.9
2015,Ontario,Females 65 years and over,7.1
2016,Ontario,Females 65 years and over,7
2017,Ontario,Females 65 years and over,5.6
2018,Ontario,Females 65 years and over,5.5
2015,Manitoba,All persons,14
2016,Manitoba,All persons,12.3
2017,Manitoba,All persons,11
2018,Manitoba,All persons,10.9
2015,Manitoba,Persons under 18 years,19.2
2016,Manitoba,Persons under 18 years,15.6
2017,Manitoba,Persons under 18 years,12.7
2018,Manitoba,Persons under 18 years,13.1
2015,Manitoba,Persons 18 to 64 years,14.1
2016,Manitoba,Persons 18 to 64 years,13
2017,Manitoba,Persons 18 to 64 years,11.9
2018,Manitoba,Persons 18 to 64 years,11.4
2015,Manitoba,Persons 65 years and over,5.9
2016,Manitoba,Persons 65 years and over,4.9
2017,Manitoba,Persons 65 years and over,5.4
2018,Manitoba,Persons 65 years and over,5.8
2015,Manitoba,Hommes,14.4
2016,Manitoba,Hommes,12.4
2017,Manitoba,Hommes,10.7
2018,Manitoba,Hommes,11
2015,Manitoba,Males under 18 years,22.8
2016,Manitoba,Males under 18 years,16.7
2017,Manitoba,Males under 18 years,11.5
2018,Manitoba,Males under 18 years,13.9
2015,Manitoba,Males 18 to 64 years,13.8
2016,Manitoba,Males 18 to 64 years,12.8
2017,Manitoba,Males 18 to 64 years,11.7
2018,Manitoba,Males 18 to 64 years,11.4
2015,Manitoba,Males 65 years and over,3.8
2016,Manitoba,Males 65 years and over,3.9
2017,Manitoba,Males 65 years and over,4.6
2018,Manitoba,Males 65 years and over,4.9
2015,Manitoba,Femmes,13.5
2016,Manitoba,Femmes,12.2
2017,Manitoba,Femmes,11.4
2018,Manitoba,Femmes,10.7
2015,Manitoba,Females under 18 years,15.4
2016,Manitoba,Females under 18 years,14.3
2017,Manitoba,Females under 18 years,13.8
2018,Manitoba,Females under 18 years,12.2
2015,Manitoba,Females 18 to 64 years,14.3
2016,Manitoba,Females 18 to 64 years,13.2
2017,Manitoba,Females 18 to 64 years,12
2018,Manitoba,Females 18 to 64 years,11.3
2015,Manitoba,Females 65 years and over,7.7
2016,Manitoba,Females 65 years and over,5.7
2017,Manitoba,Females 65 years and over,6.1
2018,Manitoba,Females 65 years and over,6.6
2015,Saskatchewan,All persons,12.7
2016,Saskatchewan,All persons,11.5
2017,Saskatchewan,All persons,12.2
2018,Saskatchewan,All persons,11.2
2015,Saskatchewan,Persons under 18 years,17.1
2016,Saskatchewan,Persons under 18 years,12.4
2017,Saskatchewan,Persons under 18 years,14.5
2018,Saskatchewan,Persons under 18 years,11.6
2015,Saskatchewan,Persons 18 to 64 years,12.8
2016,Saskatchewan,Persons 18 to 64 years,12.2
2017,Saskatchewan,Persons 18 to 64 years,13.1
2018,Saskatchewan,Persons 18 to 64 years,12.7
2015,Saskatchewan,Persons 65 years and over,6.2
2016,Saskatchewan,Persons 65 years and over,7
2017,Saskatchewan,Persons 65 years and over,5.4
2018,Saskatchewan,Persons 65 years and over,4.6
2015,Saskatchewan,Hommes,11.3
2016,Saskatchewan,Hommes,10.6
2017,Saskatchewan,Hommes,11.9
2018,Saskatchewan,Hommes,11
2015,Saskatchewan,Males under 18 years,15.7
2016,Saskatchewan,Males under 18 years,11.5
2017,Saskatchewan,Males under 18 years,14.3
2018,Saskatchewan,Males under 18 years,10.8
2015,Saskatchewan,Males 18 to 64 years,11.2
2016,Saskatchewan,Males 18 to 64 years,11.3
2017,Saskatchewan,Males 18 to 64 years,12.7
2018,Saskatchewan,Males 18 to 64 years,12.8
2015,Saskatchewan,Males 65 years and over,4.4
2016,Saskatchewan,Males 65 years and over,6.2
2017,Saskatchewan,Males 65 years and over,4.7
2018,Saskatchewan,Males 65 years and over,3.2
2015,Saskatchewan,Femmes,14.2
2016,Saskatchewan,Femmes,12.3
2017,Saskatchewan,Femmes,12.5
2018,Saskatchewan,Femmes,11.5
2015,Saskatchewan,Females under 18 years,18.4
2016,Saskatchewan,Females under 18 years,13.4
2017,Saskatchewan,Females under 18 years,14.7
2018,Saskatchewan,Females under 18 years,12.3
2015,Saskatchewan,Females 18 to 64 years,14.4
2016,Saskatchewan,Females 18 to 64 years,13.2
2017,Saskatchewan,Females 18 to 64 years,13.5
2018,Saskatchewan,Females 18 to 64 years,12.7
2015,Saskatchewan,Females 65 years and over,7.7
2016,Saskatchewan,Females 65 years and over,7.6
2017,Saskatchewan,Females 65 years and over,6
2018,Saskatchewan,Females 65 years and over,5.9
2015,Alberta,All persons,10
2016,Alberta,All persons,10.8
2017,Alberta,All persons,9
2018,Alberta,All persons,9.4
2015,Alberta,Persons under 18 years,12.9
2016,Alberta,Persons under 18 years,11.4
2017,Alberta,Persons under 18 years,7.9
2018,Alberta,Persons under 18 years,9.2
2015,Alberta,Persons 18 to 64 years,10.2
2016,Alberta,Persons 18 to 64 years,11.8
2017,Alberta,Persons 18 to 64 years,10.4
2018,Alberta,Persons 18 to 64 years,10.6
2015,Alberta,Persons 65 years and over,3.2
2016,Alberta,Persons 65 years and over,4.5
2017,Alberta,Persons 65 years and over,2.9
2018,Alberta,Persons 65 years and over,3.5
2015,Alberta,Hommes,9.5
2016,Alberta,Hommes,10.5
2017,Alberta,Hommes,8.2
2018,Alberta,Hommes,9.6
2015,Alberta,Males under 18 years,10.1
2016,Alberta,Males under 18 years,11.2
2017,Alberta,Males under 18 years,7.4
2018,Alberta,Males under 18 years,9.8
2015,Alberta,Males 18 to 64 years,10.3
2016,Alberta,Males 18 to 64 years,11.2
2017,Alberta,Males 18 to 64 years,9.4
2018,Alberta,Males 18 to 64 years,10.7
2015,Alberta,Males 65 years and over,F
2016,Alberta,Males 65 years and over,4.7
2017,Alberta,Males 65 years and over,2.7
2018,Alberta,Males 65 years and over,2.5
2015,Alberta,Femmes,10.5
2016,Alberta,Femmes,11.2
2017,Alberta,Femmes,9.7
2018,Alberta,Femmes,9.2
2015,Alberta,Females under 18 years,15.9
2016,Alberta,Females under 18 years,11.6
2017,Alberta,Females under 18 years,8.4
2018,Alberta,Females under 18 years,8.6
2015,Alberta,Females 18 to 64 years,10.1
2016,Alberta,Females 18 to 64 years,12.4
2017,Alberta,Females 18 to 64 years,11.4
2018,Alberta,Females 18 to 64 years,10.4
2015,Alberta,Females 65 years and over,3.5
2016,Alberta,Females 65 years and over,4.3
2017,Alberta,Females 65 years and over,3.1
2018,Alberta,Females 65 years and over,4.3
2015,Colombie-Britannique,All persons,17.8
2016,Colombie-Britannique,All persons,15.3
2017,Colombie-Britannique,All persons,13.6
2018,Colombie-Britannique,All persons,12.1
2015,Colombie-Britannique,Persons under 18 years,16.6
2016,Colombie-Britannique,Persons under 18 years,17
2017,Colombie-Britannique,Persons under 18 years,13
2018,Colombie-Britannique,Persons under 18 years,10.9
2015,Colombie-Britannique,Persons 18 to 64 years,19.8
2016,Colombie-Britannique,Persons 18 to 64 years,16.6
2017,Colombie-Britannique,Persons 18 to 64 years,15
2018,Colombie-Britannique,Persons 18 to 64 years,13.8
2015,Colombie-Britannique,Persons 65 years and over,11.3
2016,Colombie-Britannique,Persons 65 years and over,8.9
2017,Colombie-Britannique,Persons 65 years and over,9.2
2018,Colombie-Britannique,Persons 65 years and over,7.7
2015,Colombie-Britannique,Hommes,17.7
2016,Colombie-Britannique,Hommes,15.5
2017,Colombie-Britannique,Hommes,13.6
2018,Colombie-Britannique,Hommes,12.5
2015,Colombie-Britannique,Males under 18 years,14.9
2016,Colombie-Britannique,Males under 18 years,17.1
2017,Colombie-Britannique,Males under 18 years,14.3
2018,Colombie-Britannique,Males under 18 years,12.3
2015,Colombie-Britannique,Males 18 to 64 years,20.2
2016,Colombie-Britannique,Males 18 to 64 years,17
2017,Colombie-Britannique,Males 18 to 64 years,14.7
2018,Colombie-Britannique,Males 18 to 64 years,14
2015,Colombie-Britannique,Males 65 years and over,11
2016,Colombie-Britannique,Males 65 years and over,7.8
2017,Colombie-Britannique,Males 65 years and over,8.8
2018,Colombie-Britannique,Males 65 years and over,7.2
2015,Colombie-Britannique,Femmes,17.8
2016,Colombie-Britannique,Femmes,15.1
2017,Colombie-Britannique,Femmes,13.7
2018,Colombie-Britannique,Femmes,11.8
2015,Colombie-Britannique,Females under 18 years,18.4
2016,Colombie-Britannique,Females under 18 years,17
2017,Colombie-Britannique,Females under 18 years,11.7
2018,Colombie-Britannique,Females under 18 years,9.3
2015,Colombie-Britannique,Females 18 to 64 years,19.4
2016,Colombie-Britannique,Females 18 to 64 years,16.1
2017,Colombie-Britannique,Females 18 to 64 years,15.4
2018,Colombie-Britannique,Females 18 to 64 years,13.6
2015,Colombie-Britannique,Females 65 years and over,11.5
2016,Colombie-Britannique,Females 65 years and over,9.8
2017,Colombie-Britannique,Females 65 years and over,9.6
2018,Colombie-Britannique,Females 65 years and over,8.3
