Year,Géographie,data.Selected diseases,Groupe d'âge,Sexe,Value
2017,Ontario,data.Haemophilus influenzae type B,data.by 2 years of age,data.All children,72.9
2017,Ontario,data.Measles,data.by 2 years of age,data.All children,90.9
2017,Ontario,data.Mumps,data.by 2 years of age,data.All children,90.5
2017,Ontario,data.Rubella,data.by 2 years of age,data.All children,90.5
2017,Manitoba,data.Diphtheria - Pertussis and tetanus,data.by 2 years of age,data.All children,67.5
2017,Manitoba,data.Polio,data.by 2 years of age,data.All children,85.6
2017,Manitoba,data.Haemophilus influenzae type B,data.by 2 years of age,data.All children,62.2
2017,Manitoba,data.Measles,data.by 2 years of age,data.All children,86.1
2017,Manitoba,data.Mumps,data.by 2 years of age,data.All children,85.9
2017,Manitoba,data.Rubella,data.by 2 years of age,data.All children,86.2
2017,Saskatchewan,data.Diphtheria - Pertussis and tetanus,data.by 2 years of age,data.All children,78.6
2017,Saskatchewan,data.Polio,data.by 2 years of age,data.All children,90.0
2017,Saskatchewan,data.Haemophilus influenzae type B,data.by 2 years of age,data.All children,75.1
2017,Saskatchewan,data.Measles,data.by 2 years of age,data.All children,89.5
2017,Saskatchewan,data.Mumps,data.by 2 years of age,data.All children,89.5
2017,Saskatchewan,data.Rubella,data.by 2 years of age,data.All children,89.5
2017,Alberta,data.Diphtheria - Pertussis and tetanus,data.by 2 years of age,data.All children,79.9
2017,Alberta,data.Polio,data.by 2 years of age,data.All children,93.0
2017,Alberta,data.Haemophilus influenzae type B,data.by 2 years of age,data.All children,79.0
2017,Alberta,data.Measles,data.by 2 years of age,data.All children,91.7
2017,Alberta,data.Mumps,data.by 2 years of age,data.All children,91.4
2017,Alberta,data.Rubella,data.by 2 years of age,data.All children,91.4
2017,Colombie-Britannique,data.Diphtheria - Pertussis and tetanus,data.by 2 years of age,data.All children,76.6
2017,Colombie-Britannique,data.Polio,data.by 2 years of age,data.All children,87.5
2017,Colombie-Britannique,data.Haemophilus influenzae type B,data.by 2 years of age,data.All children,74.4
2017,Colombie-Britannique,data.Measles,data.by 2 years of age,data.All children,86.1
2017,Colombie-Britannique,data.Mumps,data.by 2 years of age,data.All children,86.1
2017,Colombie-Britannique,data.Rubella,data.by 2 years of age,data.All children,86.1
2017,Yukon,data.Diphtheria - Pertussis and tetanus,data.by 2 years of age,data.All children,70.7
2017,Yukon,data.Polio,data.by 2 years of age,data.All children,93.7
2017,Yukon,data.Haemophilus influenzae type B,data.by 2 years of age,data.All children,69.3
2017,Yukon,data.Measles,data.by 2 years of age,data.All children,91.0
2017,Yukon,data.Mumps,data.by 2 years of age,data.All children,91.0
2017,Yukon,data.Rubella,data.by 2 years of age,data.All children,91.0
2017,Territoires du Nord-Ouest,data.Diphtheria - Pertussis and tetanus,data.by 2 years of age,data.All children,76.7
2017,Territoires du Nord-Ouest,data.Polio,data.by 2 years of age,data.All children,91.1
2017,Territoires du Nord-Ouest,data.Haemophilus influenzae type B,data.by 2 years of age,data.All children,75.5
2017,Territoires du Nord-Ouest,data.Measles,data.by 2 years of age,data.All children,91.8
2017,Territoires du Nord-Ouest,data.Mumps,data.by 2 years of age,data.All children,91.8
2017,Territoires du Nord-Ouest,data.Rubella,data.by 2 years of age,data.All children,91.8
2017,Nunavut,data.Diphtheria - Pertussis and tetanus,data.by 2 years of age,data.All children,63.8
2017,Nunavut,data.Polio,data.by 2 years of age,data.All children,82.1
2017,Nunavut,data.Haemophilus influenzae type B,data.by 2 years of age,data.All children,57.2
2017,Nunavut,data.Measles,data.by 2 years of age,data.All children,88.7
2017,Nunavut,data.Mumps,data.by 2 years of age,data.All children,88.7
2017,Nunavut,data.Rubella,data.by 2 years of age,data.All children,88.7
2017,Terre-Neuve-et-Labrador,data.Varicella,data.by 2 years of age,data.All children,95.1
2017,Terre-Neuve-et-Labrador,data.Meningococcal type C,data.by 2 years of age,data.All children,93.2
2017,Terre-Neuve-et-Labrador,data.Pneumococcal,data.by 2 years of age,data.All children,90.2
2017,Terre-Neuve-et-Labrador,data.Rotavirus,data.by 2 years of age,data.All children,
2017,Terre-Neuve-et-Labrador,data.Hepatitis B,data.by 2 years of age,data.All children,
2017,Île-du-Prince-Édouard,data.Varicella,data.by 2 years of age,data.All children,92.0
2017,Île-du-Prince-Édouard,data.Meningococcal type C,data.by 2 years of age,data.All children,92.7
2017,Île-du-Prince-Édouard,data.Pneumococcal,data.by 2 years of age,data.All children,89.5
2017,Île-du-Prince-Édouard,data.Rotavirus,data.by 2 years of age,data.All children,85.6
2017,Île-du-Prince-Édouard,data.Hepatitis B,data.by 2 years of age,data.All children,86.7
2017,Nouvelle-Écosse,data.Varicella,data.by 2 years of age,data.All children,84.8
2017,Nouvelle-Écosse,data.Meningococcal type C,data.by 2 years of age,data.All children,81.8
2017,Nouvelle-Écosse,data.Pneumococcal,data.by 2 years of age,data.All children,80.4
2017,Nouvelle-Écosse,data.Rotavirus,data.by 2 years of age,data.All children,
2017,Nouvelle-Écosse,data.Hepatitis B,data.by 2 years of age,data.All children,
2017,Nouveau-Brunswick,data.Varicella,data.by 2 years of age,data.All children,90.9
2017,Nouveau-Brunswick,data.Meningococcal type C,data.by 2 years of age,data.All children,88.3
2017,Nouveau-Brunswick,data.Pneumococcal,data.by 2 years of age,data.All children,82.2
2017,Nouveau-Brunswick,data.Rotavirus,data.by 2 years of age,data.All children,
2017,Nouveau-Brunswick,data.Hepatitis B,data.by 2 years of age,data.All children,81.0
2017,Québec,data.Varicella,data.by 2 years of age,data.All children,76.1
2017,Québec,data.Meningococcal type C,data.by 2 years of age,data.All children,89.9
2017,Québec,data.Pneumococcal,data.by 2 years of age,data.All children,83.3
2017,Québec,data.Rotavirus,data.by 2 years of age,data.All children,81.0
2017,Québec,data.Hepatitis B,data.by 2 years of age,data.All children,75.7
2017,Ontario,data.Varicella,data.by 2 years of age,data.All children,84.3
2017,Ontario,data.Meningococcal type C,data.by 2 years of age,data.All children,85.7
2017,Ontario,data.Pneumococcal,data.by 2 years of age,data.All children,80.5
2017,Ontario,data.Rotavirus,data.by 2 years of age,data.All children,77.7
2017,Ontario,data.Hepatitis B,data.by 2 years of age,data.All children,
2017,Manitoba,data.Varicella,data.by 2 years of age,data.All children,81.6
2017,Manitoba,data.Meningococcal type C,data.by 2 years of age,data.All children,82.2
2017,Manitoba,data.Pneumococcal,data.by 2 years of age,data.All children,74.6
2017,Manitoba,data.Rotavirus,data.by 2 years of age,data.All children,68.4
2017,Manitoba,data.Hepatitis B,data.by 2 years of age,data.All children,
2017,Saskatchewan,data.Varicella,data.by 2 years of age,data.All children,84.8
2017,Saskatchewan,data.Meningococcal type C,data.by 2 years of age,data.All children,81.1
2017,Saskatchewan,data.Pneumococcal,data.by 2 years of age,data.All children,83.7
2017,Saskatchewan,data.Rotavirus,data.by 2 years of age,data.All children,84.0
2017,Saskatchewan,data.Hepatitis B,data.by 2 years of age,data.All children,
2017,Alberta,data.Varicella,data.by 2 years of age,data.All children,86.7
2017,Alberta,data.Meningococcal type C,data.by 2 years of age,data.All children,91.0
2017,Alberta,data.Pneumococcal,data.by 2 years of age,data.All children,82.6
2017,Alberta,data.Rotavirus,data.by 2 years of age,data.All children,
2017,Alberta,data.Hepatitis B,data.by 2 years of age,data.All children,
2017,Colombie-Britannique,data.Varicella,data.by 2 years of age,data.All children,83.7
2017,Colombie-Britannique,data.Meningococcal type C,data.by 2 years of age,data.All children,89.3
2017,Colombie-Britannique,data.Pneumococcal,data.by 2 years of age,data.All children,80.3
2017,Colombie-Britannique,data.Rotavirus,data.by 2 years of age,data.All children,80.2
2017,Colombie-Britannique,data.Hepatitis B,data.by 2 years of age,data.All children,69.7
2017,Yukon,data.Varicella,data.by 2 years of age,data.All children,85.5
2017,Yukon,data.Meningococcal type C,data.by 2 years of age,data.All children,93.7
2017,Yukon,data.Pneumococcal,data.by 2 years of age,data.All children,83.2
2017,Yukon,data.Rotavirus,data.by 2 years of age,data.All children,76.6
2017,Yukon,data.Hepatitis B,data.by 2 years of age,data.All children,62.8
2017,Territoires du Nord-Ouest,data.Varicella,data.by 2 years of age,data.All children,88.9
2017,Territoires du Nord-Ouest,data.Meningococcal type C,data.by 2 years of age,data.All children,95.2
2017,Territoires du Nord-Ouest,data.Pneumococcal,data.by 2 years of age,data.All children,63.8
2017,Territoires du Nord-Ouest,data.Rotavirus,data.by 2 years of age,data.All children,66.3
2017,Territoires du Nord-Ouest,data.Hepatitis B,data.by 2 years of age,data.All children,80.5
2017,Nunavut,data.Varicella,data.by 2 years of age,data.All children,82.1
2017,Nunavut,data.Meningococcal type C,data.by 2 years of age,data.All children,80.1
2017,Nunavut,data.Pneumococcal,data.by 2 years of age,data.All children,62.4
2017,Nunavut,data.Rotavirus,data.by 2 years of age,data.All children,
2017,Nunavut,data.Hepatitis B,data.by 2 years of age,data.All children,70.8
